,name,sku,selling_price,original_price,currency,availability,color,category,source,source_website,breadcrumbs,description,brand,country,average_rating,reviews_count,crawled_at,discount_amount,discount_percent
0,Beach Shorts,FJ5089,40,40,USD,instock,Black,Clothing,adidas United States,https://www.adidas.com,Women/Clothing,Splashing in the surf. Making memories with your friends. Beach days are the best days. These shorts are made of stretchy woven fabric. An elastic waistband that features the adidas logo brings a sporty look to your day at the beach.,adidas,USA,4.5,35,2021-10-23 17:50:17.331255,0,0.0
1,Five Ten Kestrel Lace Mountain Bike Shoes,BC0770,150,150,USD,instock,Grey,Shoes,adidas United States,https://www.adidas.com,Women/Shoes,Lace up and get after it. The Five Ten Kestrel Lace Mountain Bike Shoes offer efficient pedal power with low-profile style. The wide platform is compatible with all clipless pedals and offers high-friction grip on and off the bike. You'll find the find comfort and versatility for extended trail rides and afterwork hot laps alike.,adidas,USA,4.8,4,2021-10-23 17:50:17.423830,0,0.0
2,Mexico Away Jersey,GC7946,70,70,USD,instock,White,Clothing,adidas United States,https://www.adidas.com,Kids/Clothing,"Clean and crisp, this adidas Mexico Away Jersey for juniors displays a design that began life in an artist's studio. Soft, quick-drying fabric keeps you comfortable. Standing out on the chest, a team badge lets fans show pride in their soccer team.",adidas,USA,4.9,42,2021-10-23 17:50:17.530834,0,0.0
3,Five Ten Hiangle Pro Competition Climbing Shoes,FV4744,160,160,USD,instock,Black,Shoes,adidas United States,https://www.adidas.com,Five Ten/Shoes,"The Hiangle Pro takes on the classic shape of the original Hiangle with the addition of a seamless outsole wrapping around the toes, allowing for maximum rubber contact when tackling the most challenging boulder problems.",adidas,USA,3.7,7,2021-10-23 17:50:17.615054,0,0.0
4,Mesh Broken-Stripe Polo Shirt,GM0239,65,65,USD,instock,Blue,Clothing,adidas United States,https://www.adidas.com,Men/Clothing,"Step up to the tee relaxed. This adidas golf polo shirt lets you focus on accurate drives and putts. Four-way stretch matches the body's natural movements. Breathable fabric keeps you comfortable spring, summer and fall. Recycled materials are one step towards reducing plastic waste.",adidas,USA,4.7,11,2021-10-23 17:50:17.702680,0,0.0
5,EQT Spikeless Golf Shoes,FX7449,110,110,USD,instock,Grey,Shoes,adidas United States,https://www.adidas.com,Women/Shoes,"Put comfort first. These adidas spikeless golf shoes combine a Bounce midsole and a Boost heel for a lightweight, responsive feel that helps you convert bogie's to birdies. They repel water to keep your feet dry through wet fairways. The versatile rubber outsole ensures easy transitions from your final putt to cold drinks at the clubhouse. Recycled materials are one step towards reducing plastic waste.",adidas,USA,4.9,30,2021-10-23 17:50:17.783493,0,0.0
6,Adicross Hybrid Shorts,GM5505,80,80,USD,instock,Black,Clothing,adidas United States,https://www.adidas.com,Men/Clothing,"On the golf course, comfort is an essential component of keeping your concentration locked in on each shot. Stay focused as the temperature heats up with these ultra-lightweight adidas shorts. Move naturally through your round from the first tee to the 18th green. Then head for the clubhouse feeling ready for whatever comes next.",adidas,USA,4.5,17,2021-10-23 17:50:17.860269,0,0.0
7,Tiro 21 Windbreaker,GP4975,60,60,USD,instock,Black,Clothing,adidas United States,https://www.adidas.com,Kids/Clothing,"You can't always be a force of nature in soccer training. So when the intensity drops and the winds pick up, this juniors' adidas Tiro 21 Windbreaker has you covered. Moisture-absorbing AEROREADY and a mesh lining keep you dry. The streamlined silhouette ensures nothing gets in the way of your ball skills on the touchline.

This product is made with recycled content as part of our ambition to end plastic waste.",adidas,USA,4.5,16,2021-10-23 17:50:17.942359,0,0.0
8,Classic 3-Stripes Swimsuit,FS3923,40,40,USD,instock,Black,Clothing,adidas United States,https://www.adidas.com,Women/Clothing,"You can show your concern for the health of the oceans while you increase your fitness in the pool. This adidas swimsuit is designed for comfort and support. Soft and fully lined, it's made with yarn spun from recycled materials. Iconic 3-Stripes tape on the sides gives it a sporty and classic look.",adidas,USA,4.5,35,2021-10-23 17:50:18.136849,0,0.0
9,Tiro 21 Windbreaker,GP4967,65,65,USD,instock,Black,Clothing,adidas United States,https://www.adidas.com,Men/Clothing,"You can't always be a force of nature in soccer training. So when the intensity drops and the breeze picks up, this adidas Tiro 21 Windbreaker has you covered on the sidelines. Moisture-absorbing AEROREADY and a mesh lining help keep you dry while you're sheltering. The streamlined silhouette means you can stay mobile while you're waiting for the gusts to die down.",adidas,USA,4.8,66,2021-10-23 17:50:18.581061,0,0.0
10,Formotion Sculpt Biker Short Tights,GL1127,60,60,USD,instock,Black,Clothing,adidas United States,https://www.adidas.com,Women/Clothing,"Sometimes confidence comes in a surprising form. These adidas short tights have a unique sculpted shape to hold you in and targeted compression zones that support your muscles as you bend and stretch. If a compression look is not your thing, order a size up. An adaptive FORMOTION design follows your natural movement for a better fit and greater comfort in motion. A high-rise waist helps you focus, even before class begins.",adidas,USA,4.4,26,2021-10-23 17:50:18.666644,0,0.0
11,Athletic Cushioned Crew Socks 6 Pairs,B93219,20,20,USD,instock,White,Accessories,adidas United States,https://www.adidas.com,Men/Accessories,"Stop searching for the lost match to your favorite socks. With six pairs of matching socks, you'll always have a set. These adidas crew socks support your feet with foot-hugging arch support. The stretch blend pulls moisture away from the skin to keep feet feeling dry.",adidas,USA,4.0,5,2021-10-23 17:50:19.329862,0,0.0
12,Inter Miami CF Home Authentic Jersey,EH8629,70,70,USD,instock,White,Clothing,adidas United States,https://www.adidas.com,Kids/Clothing,"The future's a blank canvas. When Inter Miami CF step out in front of the home crowd, they'll wear a white uniform that shines under the Florida sun. This adidas soccer jersey is a juniors' version of their official home shirt. It keeps you dry on the training ground, though it's clean enough to wear on the street. The lightweight fabric displays embossed herons and sunset-pink details.",adidas,USA,5.0,2,2021-10-23 17:50:19.408892,0,0.0
13,Cushioned Mid-Crew Socks 2 Pairs,CJ5831,14,14,USD,instock,Black,Accessories,adidas United States,https://www.adidas.com,Men/Accessories,"To get serious about training, start from the ground up. Give your feet the cushioned support and moisture-absorbing comfort of these adidas mid-cut crew socks. They have a Traxion footbed for a secure, no-slip fit as you train.",adidas,USA,4.8,21,2021-10-23 17:50:19.481288,0,0.0
14,Tour Camo-Print Hat,GM7499,30,30,USD,instock,Blue,Accessories,adidas United States,https://www.adidas.com,Men/Accessories,"Whether you prefer to dress it up or keep it casual, this adidas golf hat adds the finishing touch to any look on the links. Block your face from the bright sun as you eye the green. Play through in comfort and head for the clubhouse in versatile, street-inspired style.

This product is made with Primegreen, a series of high-performance recycled materials.",adidas,USA,5.0,19,2021-10-23 17:50:19.553788,0,0.0
15,Essentials Loose Logo Tank Top,H07758,20,25,USD,instock,Purple,Clothing,adidas United States,https://www.adidas.com,Women/Clothing,"What's on the agenda? Whether it's a quick lunch hour workout or a casual hang, you're covered with this adidas tank top. The fit is not too tight and not too loose — just perfectly comfortable. The high neck keeps things covered up front, and the racerback shows off your sports bra while also making sure you have a full range of motion.",adidas,USA,4.8,116,2021-10-23 17:50:19.626607,5,20.0
16,Essentials Loose Logo Tank Top,H07757,20,25,USD,instock,Pink,Clothing,adidas United States,https://www.adidas.com,Women/Clothing,"What's on the agenda? Whether it's a quick lunch hour workout or a casual hang, you're covered with this adidas tank top. The fit is not too tight and not too loose — just perfectly comfortable. The high neck keeps things covered up front, and the racerback shows off your sports bra while also making sure you have a full range of motion.",adidas,USA,4.8,116,2021-10-23 17:50:19.814818,5,20.0
17,Superstar Shoes,FV3143,50,50,USD,instock,White,Shoes,adidas United States,https://www.adidas.com,Kids/Shoes,"Ready to shine. Whether they're watching a game from the sidelines or taking their first steps towards shooting hoops themselves, these shoes will set your infant up for success. Ever since 1970, when the adidas Superstar shoe first appeared on the basketball court, they've held their place as an icon. This version shines with iridescent 3-Stripes. Elastic laces allow for easy on and off.",adidas,USA,4.8,46,2021-10-23 17:50:19.895959,0,0.0
18,Essentials Loose Logo Tank Top,H07756,20,25,USD,instock,Green,Clothing,adidas United States,https://www.adidas.com,Women/Clothing,"What's on the agenda? Whether it's a quick lunch hour workout or a casual hang, you're covered with this adidas tank top. The fit is not too tight and not too loose — just perfectly comfortable. The high neck keeps things covered up front, and the racerback shows off your sports bra while also making sure you have a full range of motion.",adidas,USA,4.8,116,2021-10-23 17:50:19.974618,5,20.0
19,Formotion Sculpt Tights,GN9137,48,80,USD,instock,Blue,Clothing,adidas United States,https://www.adidas.com,Women/Clothing,"Sometimes confidence comes in a surprising form. These adidas tights have a unique sculpted shape to hold you in and targeted compression zones that support your muscles as you bend and stretch. If a compression look is not your thing, order a size up. An adaptive Formotion design follows your natural movement for a better fit and greater comfort in motion. A high rise and flattering length help you focus, even before class begins.",adidas,USA,4.2,144,2021-10-23 17:50:20.051878,32,40.0
20,Marvel X Ghosted.3 Firm Ground Cleats,FZ1757,64,80,USD,instock,Blue,Shoes,adidas United States,https://www.adidas.com,Soccer/Shoes,X has mutated to give you superhuman acceleration. These limited-edition adidas soccer cleats fire a classic comic book character onto the pitch. Cyclops and Marvel X-Men graphics light up the semi-transparent and foot-hugging Speedskin upper as well as the insole. The low-cut silhouette with signature Clawcollar shape locks your foot in for match-long stability and support. The stretchy tongue ensures you can get into them in a flash.,adidas,USA,4.4,160,2021-10-23 17:50:20.140542,16,20.0
21,Pureboost 21 Shoes,GY5110,91,130,USD,instock,Purple,Shoes,adidas United States,https://www.adidas.com,Women/Shoes,"For quick morning miles and more. These adidas Pureboost performance running shoes are so simple, you'll want to wear them beyond your daily run. With responsive BOOST, the comfort is clear as soon as you slip them on. The soft knit upper comes with an external heel counter, which locks your foot in place as you run down that last hill.",adidas,USA,4.5,63,2021-10-23 17:50:20.230371,39,30.0
22,Lite Racer BYD 2.0 Shoes,GZ8209,56,70,USD,instock,Grey,Shoes,adidas United States,https://www.adidas.com,Men/Shoes,"Simplicity, versatility and comfort. Lace up these running-inspired shoes on action-filled days. They're quick to slip on when you're racing out the door. The rubber outsole gives you traction on slippery and uneven surfaces. A Cloudfoam midsole is for a soft feel and all-day cushioning.

This product is made with Primegreen, a series of high-performance recycled materials. 50% of the upper is recycled content. No virgin polyester.",adidas,USA,4.6,135,2021-10-23 17:50:20.424767,14,20.0
23,Adilette Shower Slides,FZ2853,20,25,USD,instock,Pink,Shoes,adidas United States,https://www.adidas.com,Women/Shoes,"When you hit the pool, there's only one thing you need: these adidas slides. Okay, and a bathing suit. The point is, there's no need to pack a separate pair of shoes in your gym bag. All your pre- and post-pool comfort is right here. The slides dry quickly, so hop out of the shower and straight into them before taking on the rest of the day.",adidas,USA,4.6,327,2021-10-23 17:50:20.942962,5,20.0
24,Essentials Loose Logo Tank Top,GL0567,20,25,USD,instock,White,Clothing,adidas United States,https://www.adidas.com,Women/Clothing,"What's on the agenda? Whether it's a quick lunch hour workout or a casual hang, you're covered with this adidas tank top. The fit is not too tight and not too loose — just perfectly comfortable. The high neck keeps things covered up front, and the racerback shows off your sports bra while also making sure you have a full range of motion.",adidas,USA,4.8,116,2021-10-23 17:50:21.022667,5,20.0
25,Conext 21 Mini Ball,GK3487,10,14,USD,instock,White,Accessories,adidas United States,https://www.adidas.com,Men/Accessories,"The world moves to the beat of the beautiful game. This adidas Conext 21 Mini Ball displays a vibrant design inspired by motion. Its interlinking panels represent the unity of soccer's six continental federations. Beneath the laminated surface, a foam core means you won't need a pump to keep this pint-sized ball rolling.",adidas,USA,5.0,10,2021-10-23 17:50:21.104086,4,28.57142857142857
